date,value
2024-12-01,0.26220399141311646
2024-12-02,0.350041002035141
2024-12-03,0.33266299962997437
2024-12-04,0.36745700240135193
2024-12-05,0.3540189862251282
2024-12-06,0.4440479874610901
2024-12-07,0.5681599974632263
2024-12-08,0.5559509992599487
2024-12-09,0.538661003112793
2024-12-10,0.49282899498939514
2024-12-11,0.564831018447876
2024-12-12,0.7694470286369324
2024-12-13,0.8016890287399292
2024-12-14,0.8157150149345398
2024-12-15,0.7719420194625854
2024-12-16,0.8296129703521729
2024-12-17,0.722786009311676
2024-12-18,0.679652988910675
2024-12-19,0.6860610246658325
2024-12-20,0.6567400097846985
2024-12-21,0.726839005947113
2024-12-22,0.6846879720687866
2024-12-23,0.6218289732933044
2024-12-24,0.6685479879379272
2024-12-25,0.7916510105133057
2024-12-26,0.8578100204467773
2024-12-27,0.8034359812736511
2024-12-28,0.9152899980545044
2024-12-29,1.3055100440979004
2024-12-30,1.203819990158081
2024-12-31,1.7032630443572998
2025-01-01,1.5951370000839233
2025-01-02,2.1830708980560303
2025-01-03,2.3579580783843994
2025-01-04,2.093461036682129
2025-01-05,2.0240840911865234
2025-01-06,1.8120379447937012
2025-01-07,2.1939260959625244
2025-01-08,1.8739650249481201
2025-01-09,1.7192230224609375
2025-01-10,1.4311050176620483
2025-01-11,1.3953919410705566
2025-01-12,1.1629300117492676
2025-01-13,1.0587259531021118
2025-01-14,1.133059024810791
2025-01-16,1.5733201503753662
