date,value
2020-09-01,0.4784429967403412
2020-09-02,0.5710830092430115
2020-09-03,0.5473459959030151
2020-09-04,0.4698620140552521
2020-09-05,0.37925198674201965
2020-09-06,0.2903349995613098
2020-09-07,0.3448910117149353
2020-09-08,0.2880760133266449
2020-09-09,0.2584249973297119
2020-09-10,0.3054080009460449
2020-09-11,0.30693501234054565
2020-09-12,0.3026460111141205
2020-09-13,0.29475098848342896
2020-09-14,0.3042150139808655
2020-09-15,0.2985849976539612
2020-09-16,0.2693600058555603
2020-09-17,0.2595289945602417
2020-09-18,0.22163300216197968
2020-09-19,0.21515700221061707
2020-09-20,0.23882900178432465
2020-09-21,0.2219890058040619
2020-09-22,0.19423900544643402
2020-09-23,0.18021699786186218
2020-09-24,0.172775000333786
2020-09-25,0.1955530047416687
2020-09-26,0.17942599952220917
2020-09-27,0.18265900015830994
2020-09-28,0.18289299309253693
2020-09-29,0.18749800324440002
2020-09-30,0.17902900278568268
2020-10-01,0.17087000608444214
2020-10-02,0.16962100565433502
2020-10-03,0.1520639955997467
2020-10-04,0.15592600405216217
2020-10-05,0.13993999361991882
2020-10-06,0.13669799268245697
2020-10-07,0.12778499722480774
2020-10-08,0.12425299733877182
2020-10-09,0.12235099822282791
2020-10-10,0.1284099966287613
2020-10-11,0.13547499477863312
2020-10-12,0.13339200615882874
2020-10-13,0.1281840056180954
2020-10-14,0.1587049961090088
2020-10-15,0.15205800533294678
2020-10-16,0.1380160003900528
2020-10-17,0.13283699750900269
2020-10-18,0.13618899881839752
2020-10-19,0.10979600250720978
2020-10-20,0.10699799656867981
2020-10-21,0.09232199937105179
2020-10-22,0.09564100205898285
2020-10-23,0.10230600088834763
2020-10-24,0.1006930023431778
2020-10-25,0.09616199880838394
2020-10-26,0.07523000240325928
2020-10-27,0.06989199668169022
2020-10-28,0.07325799763202667
2020-10-29,0.07927499711513519
2020-10-30,0.08470000326633453
2020-10-31,0.07660999894142151
2020-11-01,0.07595899701118469
2020-11-02,0.07403899729251862
2020-11-03,0.06325600296258926
2020-11-04,0.05653899908065796
2020-11-05,0.05902300029993057
2020-11-06,0.06541000306606293
2020-11-07,0.07450500130653381
2020-11-08,0.07474800199270248
2020-11-09,0.07782699912786484
2020-11-10,0.07639700174331665
2020-11-11,0.07971999794244766
2020-11-12,0.08515399694442749
2020-11-13,0.0815109983086586
2020-11-14,0.08287700265645981
2020-11-15,0.08106999844312668
2020-11-16,0.07330600172281265
